classifier,dataset,fit_time,fold,score_time,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro
Classifiers.KNN,quaternion,0.0069963932037353516,0,0.11114358901977539,0.5333333333333333,0.5277055873011383,0.5371624852550952,0.5333333333333333
Classifiers.KNN,quaternion,0.010308980941772461,1,0.16347098350524902,0.47126436781609193,0.46228832432327954,0.48323232323232324,0.47126436781609193
Classifiers.KNN,quaternion,0.00720524787902832,2,0.11450910568237305,0.5586206896551724,0.5523667470621548,0.5551229554545026,0.5586206896551724
Classifiers.KNN,quaternion,0.009796380996704102,3,0.12874794006347656,0.5057471264367817,0.4991875702618123,0.5126419254231354,0.5057471264367817
Classifiers.KNN,quaternion,0.006891965866088867,4,0.11209678649902344,0.496551724137931,0.48911293187445654,0.4955537979451023,0.496551724137931
Classifiers.KNN,quaternion,0.007366657257080078,5,0.11019062995910645,0.496551724137931,0.4919762763829879,0.5091722087357049,0.496551724137931
Classifiers.KNN,quaternion,0.007435321807861328,6,0.11408758163452148,0.503448275862069,0.4973194397354401,0.5122154158143023,0.503448275862069
Classifiers.KNN,quaternion,0.0073015689849853516,7,0.11063504219055176,0.5126436781609195,0.5064954796699601,0.5133513708513708,0.5126436781609195
Classifiers.KNN,quaternion,0.00810861587524414,8,0.11390829086303711,0.48735632183908045,0.4805905606886621,0.48908999355494887,0.4873563218390805
Classifiers.KNN,quaternion,0.007686138153076172,9,0.11308979988098145,0.4896551724137931,0.48392505989228224,0.4942106563188572,0.4896551724137931
Classifiers.KNN,quaternion,0.007245302200317383,10,0.11336064338684082,0.4689655172413793,0.46480745176120664,0.48234631865066646,0.46896551724137936
Classifiers.KNN,quaternion,0.017421960830688477,11,0.13795852661132812,0.5057471264367817,0.5016338225629242,0.5148265438381172,0.5057471264367817
Classifiers.KNN,quaternion,0.012787103652954102,12,0.12193012237548828,0.4482758620689655,0.4438854756647629,0.45806875267607533,0.44827586206896547
Classifiers.KNN,quaternion,0.007967710494995117,13,0.11331057548522949,0.49195402298850577,0.48383887291000205,0.498267437170286,0.4919540229885057
Classifiers.KNN,quaternion,0.012375354766845703,14,0.12572646141052246,0.4804597701149425,0.47280633842570935,0.4888074757908738,0.48045977011494256
Classifiers.KNN,quaternion,0.008127450942993164,15,0.1166086196899414,0.45977011494252873,0.45274631228177914,0.46183647114638066,0.4597701149425288
Classifiers.KNN,quaternion,0.010803937911987305,16,0.13565373420715332,0.5540229885057472,0.5483471520644181,0.5668179723722837,0.554022988505747
Classifiers.KNN,quaternion,0.007827997207641602,17,0.11177206039428711,0.4942528735632184,0.48554484487408817,0.4936642961103702,0.4942528735632184
Classifiers.KNN,quaternion,0.007803916931152344,18,0.10814905166625977,0.47126436781609193,0.46378483695172823,0.4744985272651444,0.47126436781609193
Classifiers.KNN,quaternion,0.007586479187011719,19,0.1107795238494873,0.5287356321839081,0.5176173979030552,0.5277777777777778,0.528735632183908
Classifiers.DT,quaternion,2.7215206623077393,0,0.007239818572998047,0.4850574712643678,0.48439697916291696,0.48616823001214493,0.4850574712643678
Classifiers.DT,quaternion,2.188753604888916,1,0.006959438323974609,0.45517241379310347,0.4534555582156665,0.4530845719364501,0.45517241379310336
Classifiers.DT,quaternion,2.6536600589752197,2,0.0069620609283447266,0.4689655172413793,0.47114272528421386,0.47513946712206956,0.46896551724137936
Classifiers.DT,quaternion,2.100862741470337,3,0.008867502212524414,0.43448275862068964,0.43318912031298823,0.43257047300525564,0.4344827586206897
Classifiers.DT,quaternion,2.658295154571533,4,0.006933689117431641,0.4574712643678161,0.45382848782736473,0.45269946812500966,0.45747126436781615
Classifiers.DT,quaternion,2.141071319580078,5,0.007138729095458984,0.4160919540229885,0.41593333639385516,0.41631392555001856,0.41609195402298854
Classifiers.DT,quaternion,2.199775218963623,6,0.006901979446411133,0.4413793103448276,0.4418626901553731,0.44383321588868985,0.4413793103448276
Classifiers.DT,quaternion,2.3794054985046387,7,0.007043123245239258,0.45517241379310347,0.4556788318107248,0.4565041609873375,0.45517241379310347
Classifiers.DT,quaternion,2.2161152362823486,8,0.0065577030181884766,0.49885057471264366,0.4998691681103688,0.501046634623926,0.4988505747126437
Classifiers.DT,quaternion,2.178189277648926,9,0.006873130798339844,0.42758620689655175,0.42946068127266673,0.43218225151996637,0.4275862068965517
Classifiers.DT,quaternion,2.2034544944763184,10,0.012618064880371094,0.4298850574712644,0.43126206537347117,0.4339230804745619,0.4298850574712644
Classifiers.DT,quaternion,2.5099825859069824,11,0.008458614349365234,0.4827586206896552,0.4841672376766254,0.4880626184531892,0.48275862068965514
Classifiers.DT,quaternion,2.1653144359588623,12,0.011104583740234375,0.43908045977011495,0.4409856480184303,0.4438213276327273,0.4390804597701149
Classifiers.DT,quaternion,2.4234282970428467,13,0.014000177383422852,0.4827586206896552,0.48009375295355505,0.4784399878647124,0.48275862068965514
Classifiers.DT,quaternion,2.7241289615631104,14,0.010867118835449219,0.46436781609195404,0.46405065659568,0.46451625396772184,0.46436781609195404
Classifiers.DT,quaternion,2.3117949962615967,15,0.00894618034362793,0.41839080459770117,0.41535387259091044,0.4156144229638283,0.4183908045977011
Classifiers.DT,quaternion,2.7411813735961914,16,0.011533260345458984,0.41839080459770117,0.41972702535818474,0.42219773369843494,0.4183908045977012
Classifiers.DT,quaternion,2.7628443241119385,17,0.006992340087890625,0.4482758620689655,0.4487328609619631,0.45026028511269633,0.44827586206896547
Classifiers.DT,quaternion,2.8444604873657227,18,0.012456417083740234,0.4482758620689655,0.45070361860189445,0.4556026054671557,0.44827586206896547
