user,video,startingTime,endTime,N,firstFrame,lastFrame,avTsampling,avFsampling
0,Diving,0.0,60.026935,2979,0.0,1799.0,0.020150028533064787,49.62772128878478
0,Paris,0.0,36.655114,1626,2.0,2199.0,0.02254312054120541,44.35943099235758
0,Rollercoaster,0.0,63.362871,3153,0.0,1899.0,0.02009605803996194,49.761002780319096
0,Timelapse,0.0,59.926586,2982,1.0,1799.0,0.02009610529845741,49.760885761121116
0,Venice,0.0,71.920316,3212,0.0,1799.0,0.02239113200498132,44.66053792088456
1,Diving,0.0,77.944902,2440,0.0,2099.0,0.031944631967213116,31.304164061942114
1,Paris,0.0,82.88082,2710,2.0,4199.0,0.030583328413284133,32.69755294409491
1,Rollercoaster,0.0,72.153582,2341,0.0,2099.0,0.03082169243912858,32.4446816791438
1,Timelapse,0.0,69.915328,2354,1.0,2099.0,0.029700649107901444,33.66929781120386
1,Venice,0.0,71.927934,2112,1.0,1799.0,0.03405678693181818,29.362722972134865
2,Diving,0.0,60.026984,11244,0.0,1799.0,0.0053385791533262185,187.31575785983185
2,Paris,0.0,37.523565,1690,2.0,2199.0,0.022203292899408283,45.038364558378184
2,Rollercoaster,0.0,60.02787,11201,0.0,1799.0,0.005359152754218373,186.59665918514185
2,Timelapse,0.0,59.923806,10939,1.0,1799.0,0.005477996709022762,182.54848498775263
2,Venice,0.0,79.917558,16898,1.0,1999.0,0.00472940927920464,211.4428971916284
3,Diving,0.0,70.523943,3947,0.0,2099.0,0.017867733215100077,55.966808322104164
3,Paris,0.0,77.60886,2842,2.0,4199.0,0.027307832512315274,36.619530295896624
3,Rollercoaster,0.0,70.636286,3521,0.0,2099.0,0.020061427435387674,49.84690163353152
3,Timelapse,0.0,69.919981,3431,1.0,2099.0,0.020378892742640632,49.07037946706535
3,Venice,0.0,71.925187,3850,1.0,1799.0,0.01868186675324675,53.527841366613345
4,Diving,0.0,70.035475,2933,0.0,2099.0,0.02387844357313331,41.8787764343713
4,Paris,0.0,76.323583,2797,2.0,4199.0,0.02728765927779764,36.64660240072848
4,Rollercoaster,0.0,70.035292,2888,0.0,2099.0,0.024250447368421052,41.23635266631001
4,Timelapse,0.0,69.937236,2974,1.0,2099.0,0.02351621923335575,42.523842377757106
4,Venice,0.0,71.920346,2724,1.0,1799.0,0.026402476505139497,37.875234916139036
5,Diving,0.0,60.047484,11520,0.0,1799.0,0.005212455208333333,191.84817135718794
5,Paris,0.0,36.685716,1630,2.0,2199.0,0.022506574233128834,44.43146209821828
5,Rollercoaster,0.0,63.362988,12379,0.0,1899.0,0.005118586961790129,195.36641801046375
