experiment,user,video,startingTime,endTime,N,magQuat,avTsampling,avFsampling
0,1,0,1.247,164.203,14726,1.000004811632891,0.011065869889990492,90.36795208522547
0,1,1,0.0,201.141,18180,0.9999974984027667,0.011063861386138614,90.38435724193477
0,1,2,0.021,293.23900000000003,26272,1.0000063536579316,0.011160855663824605,89.59886500828733
0,1,3,0.0,172.577,15478,0.9999982452710577,0.011149825558857733,89.68750181078592
0,1,4,0.021,205.708,18443,1.000005238417169,0.011152578213956515,89.66536533665229
0,1,5,0.0,655.061,58650,1.0000029787981324,0.011168985507246378,89.53364648483118
0,1,6,0.021,451.12800000000004,40535,1.000001794826129,0.011128826939681757,89.85673022143304
0,1,7,0.021,164.815,15017,1.0000021565286754,0.010973829659718985,91.1258905057223
0,1,8,0.0,292.079,26845,0.9999979537822401,0.010880201154777426,91.91006542750421
0,10,0,3.21,164.215,14688,0.9999993988720115,0.010961669389978213,91.22698052855502
0,10,1,0.0,201.141,18176,1.0000007929580805,0.011066296214788732,90.36447069468682
0,10,2,0.0,293.23900000000003,26267,0.9999967796205406,0.011163779647466404,89.57539754261882
0,10,3,0.0,172.577,15456,1.000003437526895,0.011165696169772256,89.56002248271787
0,10,4,0.0,205.708,18461,1.000000092539639,0.011142841666215264,89.74371439127307
0,10,5,0.0,655.073,58673,0.9999970169962512,0.011164811753276634,89.56711694727153
0,10,6,0.0,451.12800000000004,40538,0.9999988698921577,0.011128521387340275,89.85919738965437
0,10,7,0.0,164.815,15013,1.000002099758334,0.01097815226803437,91.0900100112247
0,10,8,0.0,292.079,26835,1.0000034175955415,0.010884255636295883,91.87582811499628
0,11,0,11.85,164.215,14732,0.9999931800311587,0.010342451805593266,96.68887211629968
0,11,1,0.021,201.141,18165,1.000004523314433,0.011071841453344344,90.3192124105012
0,11,2,0.0,293.248,26276,1.00000030851424,0.011160298371137158,89.60333915320821
0,11,3,0.0,172.577,15466,1.0000021929962053,0.011158476658476659,89.61796763183969
0,11,4,0.0,205.708,18449,1.00000131933334,0.011150089435741774,89.68537927547786
0,11,5,0.0,655.073,58666,0.9999990883520669,0.011166143933453788,89.55643111531082
0,11,6,0.021,451.12800000000004,40571,1.0000013342229235,0.011118951960760149,89.93653390437302
0,11,7,0.0,164.815,15022,0.9999990016962829,0.01097157502329916,91.14461669144193
0,11,8,0.021,292.079,26847,1.0000034752824654,0.01087860841062316,91.92352204014271
0,12,0,21.279,164.215,14721,1.0000074368580028,0.009709666462876163,102.9901494375105
0,12,1,0.021,201.141,18155,1.0000040209174086,0.011077939961443128,90.2694908512331
0,12,2,0.021,293.23900000000003,26073,1.0000007465404768,0.011246039964714457,88.92018907434058
0,12,3,0.021,172.577,15466,0.9999968899305652,0.011157118841329368,89.6288741046385
0,12,4,0.0,205.708,18435,0.9999997235421562,0.011158557092487116,89.61732164038347
0,12,5,0.021,655.073,58654,0.9999985889427105,0.011168070378831793,89.5409830059293
0,12,6,0.0,451.12800000000004,40559,0.9999933522149589,0.011122759436869746,89.90574737103438
0,12,7,0.0,164.815,15027,0.9999994092173599,0.010967924402741731,91.17495373600704
0,12,8,0.0,292.079,26862,0.99999413926801,0.010873315464224556,91.96826885876766
0,13,0,1.845,164.215,14743,0.9999980027867681,0.01101336227362138,90.79879288045821
0,13,1,0.0,201.141,18182,0.9999995428318347,0.011062644373556264,90.39430051555874
0,13,2,0.0,293.23900000000003,26255,0.9999988772247345,0.01116888211769187,89.53447529148578
0,13,3,0.0,172.577,15472,1.00000543482129,0.01115414943123061,89.6527347213128
0,13,4,0.021,205.708,18444,1.0000037845132377,0.011151973541531121,89.67022709262132
0,13,5,0.021,655.073,58680,1.0000007894305076,0.011163122017723246,89.5806745113365
0,13,6,0.0,451.12800000000004,40556,0.9999972673530595,0.011123582207318277,89.89909737369437
0,13,7,0.0,164.815,15027,1.0000012388856192,0.010967924402741731,91.17495373600704
0,13,8,0.0,292.079,26819,1.0000002826981635,0.010890749095790297,91.82104841498362
0,14,0,2.9539999999999997,164.215,14736,1.0000033125270211,0.010943336047774158,91.37981284997613
0,14,1,0.021,201.141,18178,0.9999997743819518,0.011063923423919023,90.38385043754973
0,14,2,0.0,293.23900000000003,26280,1.0000012554116209,0.011158257229832574,89.61972998134625
0,14,3,0.0,172.577,15495,0.9999997676929977,0.01113759277186189,89.78600856429304
0,14,4,0.021,205.708,18454,0.9999941581335606,0.011145930421588816,89.71884465231152
0,14,5,0.0,655.073,58656,1.0000008137209457,0.011168047599563557,89.54116564108122
0,14,6,0.021,451.12800000000004,40579,1.000003174574234,0.011116759900441116,89.95426805613745
