classifier,dataset,fit_time,fold,score_time,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro
Classifiers.KNN,quaternion,0.03229093551635742,0,68.61725306510925,0.6,0.5847619047619047,0.5833333333333333,0.6
Classifiers.KNN,quaternion,0.021944284439086914,1,68.60635280609131,0.3333333333333333,0.3733333333333333,0.5619047619047619,0.3333333333333333
Classifiers.KNN,quaternion,0.021669626235961914,2,70.2120406627655,0.4,0.42333333333333334,0.47333333333333333,0.39999999999999997
Classifiers.KNN,quaternion,0.021074771881103516,3,68.46643614768982,0.4,0.36,0.36,0.39999999999999997
Classifiers.KNN,quaternion,0.021375656127929688,4,70.39140796661377,0.6,0.5385714285714286,0.52,0.5999999999999999
Classifiers.KNN,quaternion,0.0245819091796875,5,70.59903359413147,0.3333333333333333,0.34095238095238095,0.36666666666666664,0.3333333333333333
Classifiers.KNN,quaternion,0.021055936813354492,6,68.95425796508789,0.4666666666666667,0.4704761904761904,0.5633333333333332,0.4666666666666667
Classifiers.KNN,quaternion,0.021451234817504883,7,70.09796476364136,0.4666666666666667,0.42666666666666664,0.4333333333333333,0.4666666666666666
Classifiers.KNN,quaternion,0.021051883697509766,8,68.98538422584534,0.3333333333333333,0.3038095238095238,0.2966666666666667,0.3333333333333333
Classifiers.KNN,quaternion,0.021383047103881836,9,70.20156502723694,0.4666666666666667,0.42222222222222217,0.39999999999999997,0.4666666666666666
Classifiers.KNN,quaternion,0.022100448608398438,10,68.42619037628174,0.2857142857142857,0.23095238095238096,0.20666666666666664,0.26666666666666666
Classifiers.KNN,quaternion,0.02114272117614746,11,64.25425410270691,0.5714285714285714,0.5476190476190477,0.5133333333333333,0.6
Classifiers.KNN,quaternion,0.021337270736694336,12,65.78678965568542,0.42857142857142855,0.43714285714285717,0.45,0.4333333333333333
Classifiers.KNN,quaternion,0.021007776260375977,13,64.41566395759583,0.5,0.4666666666666667,0.5333333333333334,0.5333333333333333
Classifiers.KNN,quaternion,0.021353721618652344,14,65.75517249107361,0.42857142857142855,0.4504761904761905,0.4833333333333333,0.4333333333333333
Classifiers.KNN,quaternion,0.021074295043945312,15,64.33890390396118,0.42857142857142855,0.4142857142857143,0.44666666666666666,0.4333333333333333
Classifiers.KNN,quaternion,0.021219968795776367,16,65.70193934440613,0.35714285714285715,0.2642857142857143,0.2,0.4
Classifiers.KNN,quaternion,0.021184444427490234,17,64.50568962097168,0.42857142857142855,0.3904761904761905,0.4166666666666667,0.4333333333333333
Classifiers.KNN,quaternion,0.021536588668823242,18,66.04533791542053,0.5714285714285714,0.5619047619047619,0.6333333333333333,0.5666666666666667
Classifiers.KNN,quaternion,0.021166086196899414,19,64.748943567276,0.5,0.5088888888888888,0.6333333333333333,0.5
Classifiers.ROCKET,quaternion,4.631032466888428,0,0.5990557670593262,0.8,0.7961904761904762,0.8333333333333333,0.7999999999999999
Classifiers.ROCKET,quaternion,4.608909368515015,1,0.5763475894927979,0.5333333333333333,0.5290909090909091,0.675,0.5333333333333333
Classifiers.ROCKET,quaternion,4.53743577003479,2,0.5589008331298828,0.5333333333333333,0.5352380952380953,0.5666666666666667,0.5333333333333334
Classifiers.ROCKET,quaternion,4.62412428855896,3,0.5598225593566895,0.5333333333333333,0.5371428571428571,0.55,0.5333333333333333
Classifiers.ROCKET,quaternion,4.486087083816528,4,0.555443525314331,0.6,0.5776190476190476,0.6533333333333333,0.6
Classifiers.ROCKET,quaternion,4.4908623695373535,5,0.6216092109680176,0.6,0.6171428571428571,0.6499999999999999,0.5999999999999999
Classifiers.ROCKET,quaternion,4.4716432094573975,6,0.5717110633850098,0.5333333333333333,0.5700000000000001,0.64,0.5333333333333333
Classifiers.ROCKET,quaternion,4.431765079498291,7,0.5595955848693848,0.7333333333333333,0.7233333333333334,0.7533333333333333,0.7333333333333333
Classifiers.ROCKET,quaternion,4.629412651062012,8,0.5742654800415039,0.5333333333333333,0.5219047619047619,0.5333333333333333,0.5333333333333334
Classifiers.ROCKET,quaternion,4.6161792278289795,9,0.567324161529541,0.8,0.8076190476190476,0.8333333333333333,0.7999999999999999
Classifiers.ROCKET,quaternion,4.451308727264404,10,0.5510311126708984,0.7857142857142857,0.7628571428571428,0.8,0.7666666666666666
Classifiers.ROCKET,quaternion,4.545622110366821,11,0.5587100982666016,0.8571428571428571,0.8699999999999999,0.9199999999999999,0.8666666666666666
Classifiers.ROCKET,quaternion,4.396333456039429,12,0.5024900436401367,0.6428571428571429,0.6276190476190476,0.6333333333333333,0.6333333333333333
Classifiers.ROCKET,quaternion,4.40996241569519,13,0.5704936981201172,0.7857142857142857,0.7980952380952381,0.8166666666666667,0.8
Classifiers.ROCKET,quaternion,4.469888925552368,14,0.48416829109191895,0.35714285714285715,0.3609523809523809,0.44666666666666666,0.39999999999999997
Classifiers.ROCKET,quaternion,4.514009952545166,15,0.5646789073944092,0.7142857142857143,0.71,0.7866666666666666,0.7
Classifiers.ROCKET,quaternion,4.558797597885132,16,0.5552849769592285,0.5714285714285714,0.5685714285714286,0.6799999999999999,0.6
Classifiers.ROCKET,quaternion,4.483725309371948,17,0.5725753307342529,0.5714285714285714,0.5847619047619047,0.65,0.5666666666666667
Classifiers.ROCKET,quaternion,4.541019678115845,18,0.5755312442779541,0.7857142857142857,0.7699999999999999,0.8533333333333333,0.8
Classifiers.ROCKET,quaternion,4.498006343841553,19,0.5714528560638428,0.5714285714285714,0.560952380952381,0.6466666666666667,0.6
Classifiers.MiniRocket,quaternion,1.521820306777954,0,0.1541130542755127,0.6,0.5,0.4666666666666666,0.6
