classifier,datatype,fit_time,fold,score_time,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro,methodtype,dataset,classlabels
DT,Quaternion,2.65366005897522,2,0.006962060928344727,0.4689655172413793,0.4711427252842138,0.4751394671220696,0.4689655172413794,fbc,IMT,videos
DT,Quaternion,2.100862741470337,3,0.008867502212524414,0.4344827586206896,0.4331891203129882,0.4325704730052557,0.4344827586206897,fbc,IMT,videos
DT,Quaternion,2.658295154571533,4,0.006933689117431641,0.4574712643678161,0.4538284878273647,0.4526994681250097,0.4574712643678162,fbc,IMT,videos
DT,Quaternion,2.141071319580078,5,0.007138729095458984,0.4160919540229885,0.4159333363938552,0.41631392555001856,0.4160919540229885,fbc,IMT,videos
DT,Quaternion,2.199775218963623,6,0.006901979446411133,0.4413793103448276,0.4418626901553731,0.44383321588868985,0.4413793103448276,fbc,IMT,videos
DT,Quaternion,2.3794054985046387,7,0.007043123245239258,0.4551724137931034,0.4556788318107248,0.4565041609873375,0.4551724137931034,fbc,IMT,videos
DT,Quaternion,2.2161152362823486,8,0.006557703018188477,0.4988505747126437,0.4998691681103688,0.5010466346239261,0.4988505747126437,fbc,IMT,videos
DT,Quaternion,2.1781892776489262,9,0.006873130798339844,0.42758620689655175,0.4294606812726667,0.4321822515199664,0.4275862068965517,fbc,IMT,videos
DT,Quaternion,2.2034544944763184,10,0.012618064880371094,0.4298850574712644,0.4312620653734712,0.4339230804745619,0.4298850574712644,fbc,IMT,videos
DT,Quaternion,2.5099825859069824,11,0.008458614349365234,0.4827586206896552,0.4841672376766254,0.4880626184531892,0.4827586206896552,fbc,IMT,videos
DT,Quaternion,2.1653144359588623,12,0.011104583740234377,0.43908045977011495,0.4409856480184303,0.4438213276327273,0.4390804597701149,fbc,IMT,videos
DT,Quaternion,2.4234282970428467,13,0.014000177383422852,0.4827586206896552,0.4800937529535551,0.4784399878647124,0.4827586206896552,fbc,IMT,videos
DT,Quaternion,2.7241289615631104,14,0.01086711883544922,0.4643678160919541,0.46405065659567996,0.4645162539677218,0.4643678160919541,fbc,IMT,videos
DT,Quaternion,2.3117949962615967,15,0.00894618034362793,0.4183908045977012,0.4153538725909104,0.4156144229638283,0.4183908045977011,fbc,IMT,videos
DT,Quaternion,2.7411813735961914,16,0.011533260345458984,0.4183908045977012,0.4197270253581848,0.4221977336984349,0.4183908045977012,fbc,IMT,videos
DT,Quaternion,2.7628443241119385,17,0.006992340087890625,0.4482758620689655,0.4487328609619631,0.4502602851126963,0.4482758620689655,fbc,IMT,videos
DT,Quaternion,2.8444604873657227,18,0.012456417083740234,0.4482758620689655,0.4507036186018945,0.4556026054671557,0.4482758620689655,fbc,IMT,videos
DT,Quaternion,2.8048110008239746,19,0.010848283767700195,0.4252873563218391,0.4255980531084653,0.4284663453185892,0.425287356321839,fbc,IMT,videos
RF,Quaternion,11.985207080841064,0,0.027620792388916016,0.5471264367816092,0.54190725680285,0.5516079907026417,0.5471264367816092,fbc,IMT,videos
RF,Quaternion,14.207319498062134,1,0.026997804641723636,0.5241379310344828,0.5153205944420206,0.5289782336430375,0.5241379310344827,fbc,IMT,videos
RF,Quaternion,14.682204484939575,2,0.0266721248626709,0.5908045977011495,0.5843454593101887,0.5899064689257244,0.5908045977011495,fbc,IMT,videos
RF,Quaternion,11.963034391403198,3,0.026189088821411133,0.4942528735632184,0.4837644406529194,0.4929816230213522,0.4942528735632184,fbc,IMT,videos
RF,Quaternion,15.160062789916992,4,0.026242971420288086,0.5586206896551724,0.5503540897664563,0.5582945314715613,0.5586206896551724,fbc,IMT,videos
RF,Quaternion,12.711762428283693,5,0.03362131118774414,0.5609195402298851,0.5556768471012303,0.5591043523596102,0.560919540229885,fbc,IMT,videos
RF,Quaternion,12.05043888092041,6,0.027654409408569336,0.5701149425287356,0.5635991635311616,0.5713123160181983,0.5701149425287356,fbc,IMT,videos
RF,Quaternion,12.054376363754272,7,0.02715158462524414,0.5264367816091954,0.5210006798536695,0.523856405072406,0.5264367816091954,fbc,IMT,videos
RF,Quaternion,14.036964893341064,8,0.02733898162841797,0.5563218390804597,0.548665726232551,0.5521292996687545,0.5563218390804597,fbc,IMT,videos
