classifier,dataset,fit_time,fold,score_time,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro
Classifiers.KNN,quaternion,0.059342384338378906,0,2572.540321826935,0.7727272727272727,0.7555555555555555,0.7777777777777778,0.7777777777777778
Classifiers.KNN,quaternion,0.05591320991516113,1,2548.91974401474,0.7727272727272727,0.7555555555555556,0.7592592592592592,0.7777777777777778
Classifiers.KNN,quaternion,0.056012868881225586,2,2513.2449176311493,0.6363636363636364,0.5777777777777778,0.6296296296296297,0.6111111111111112
Classifiers.KNN,quaternion,0.05429553985595703,3,2516.8044288158417,0.9090909090909091,0.8999999999999999,0.9074074074074073,0.9074074074074073
Classifiers.KNN,quaternion,0.05417799949645996,4,2510.569129705429,0.7727272727272727,0.7645502645502645,0.7962962962962963,0.7777777777777778
Classifiers.KNN,quaternion,0.05400204658508301,5,2518.7666888237,0.5909090909090909,0.5708994708994708,0.537037037037037,0.6296296296296295
Classifiers.KNN,quaternion,0.054257869720458984,6,2510.671763420105,0.8181818181818182,0.8328042328042327,0.8611111111111112,0.8333333333333334
Classifiers.KNN,quaternion,0.05390620231628418,7,2518.696964263916,0.6818181818181818,0.6351851851851852,0.6592592592592592,0.6851851851851851
Classifiers.KNN,quaternion,0.05479025840759277,8,2511.4793429374695,0.6818181818181818,0.6703703703703704,0.7685185185185185,0.6666666666666666
Classifiers.KNN,quaternion,0.053804636001586914,9,2517.636860847473,0.6818181818181818,0.6415343915343914,0.6499999999999999,0.6666666666666666
Classifiers.KNN,quaternion,0.054143428802490234,10,2510.479979276657,0.7272727272727273,0.6851851851851851,0.7388888888888889,0.6851851851851851
Classifiers.KNN,quaternion,0.05369877815246582,11,2517.7348692417145,0.7727272727272727,0.7238095238095237,0.7407407407407407,0.7592592592592592
Classifiers.KNN,quaternion,0.053899526596069336,12,2422.3689749240875,0.8095238095238095,0.8148148148148149,0.8518518518518517,0.8148148148148148
Classifiers.KNN,quaternion,0.05397152900695801,13,2422.4996330738068,0.8571428571428571,0.8656084656084657,0.9166666666666666,0.8703703703703703
Classifiers.KNN,quaternion,0.05432319641113281,14,2427.6965141296387,0.7142857142857143,0.7185185185185186,0.787037037037037,0.7037037037037037
Classifiers.KNN,quaternion,0.05463886260986328,15,2425.196713209152,0.7619047619047619,0.7248677248677249,0.75,0.7592592592592592
Classifiers.KNN,quaternion,0.0543367862701416,16,2429.0367364883423,0.8095238095238095,0.8074074074074074,0.8148148148148148,0.8148148148148148
Classifiers.KNN,quaternion,0.054544925689697266,17,2423.403035402298,0.6666666666666666,0.6285714285714286,0.6851851851851851,0.6481481481481481
Classifiers.KNN,quaternion,0.054357290267944336,18,2426.2127890586853,0.8095238095238095,0.7423280423280423,0.7407407407407407,0.7777777777777778
Classifiers.KNN,quaternion,0.05395674705505371,19,2423.369705438614,0.8095238095238095,0.8148148148148149,0.8333333333333334,0.8333333333333334
Classifiers.ROCKET,quaternion,23.054789066314697,0,1.710789680480957,0.8636363636363636,0.8518518518518519,0.8888888888888888,0.8703703703703703
Classifiers.ROCKET,quaternion,23.38960838317871,1,1.7426960468292236,0.8181818181818182,0.7544973544973544,0.7685185185185185,0.7962962962962963
Classifiers.ROCKET,quaternion,23.375635623931885,2,1.7480332851409912,0.7272727272727273,0.6693121693121693,0.75,0.6666666666666666
Classifiers.ROCKET,quaternion,23.301700830459595,3,1.8069899082183838,0.8636363636363636,0.8507936507936508,0.898148148148148,0.8518518518518517
Classifiers.ROCKET,quaternion,23.365700006484985,4,1.8233733177185059,0.8636363636363636,0.8629629629629629,0.8703703703703703,0.8703703703703703
Classifiers.ROCKET,quaternion,23.121781826019287,5,1.8465204238891602,0.9090909090909091,0.9063492063492062,0.9166666666666666,0.9074074074074073
Classifiers.ROCKET,quaternion,23.110767126083374,6,1.710008144378662,0.9090909090909091,0.912962962962963,0.9555555555555555,0.9074074074074073
Classifiers.ROCKET,quaternion,23.536155700683594,7,1.7884469032287598,0.8181818181818182,0.7703703703703704,0.7962962962962963,0.7962962962962963
Classifiers.ROCKET,quaternion,23.11032462120056,8,1.831427812576294,0.9545454545454546,0.9555555555555555,0.9629629629629629,0.9629629629629629
Classifiers.ROCKET,quaternion,23.170776844024658,9,1.8231759071350098,0.7727272727272727,0.7624338624338625,0.824074074074074,0.7592592592592592
Classifiers.ROCKET,quaternion,23.11067271232605,10,1.7798800468444824,0.8181818181818182,0.8111111111111111,0.8888888888888888,0.7962962962962963
Classifiers.ROCKET,quaternion,23.24347162246704,11,1.828345537185669,0.9090909090909091,0.9026455026455026,0.9351851851851851,0.9074074074074073
Classifiers.ROCKET,quaternion,23.157122135162354,12,1.7318503856658936,0.8095238095238095,0.8063492063492064,0.8796296296296295,0.8148148148148148
Classifiers.ROCKET,quaternion,23.09563374519348,13,1.7991812229156494,0.9523809523809523,0.9619047619047618,0.9722222222222222,0.9629629629629629
Classifiers.ROCKET,quaternion,23.26974081993103,14,1.7691807746887207,0.8571428571428571,0.8555555555555555,0.8518518518518517,0.8703703703703703
Classifiers.ROCKET,quaternion,23.186561822891235,15,1.7890264987945557,1.0,1.0,1.0,1.0
Classifiers.ROCKET,quaternion,23.140774726867676,16,1.6726884841918945,0.8095238095238095,0.8074074074074074,0.8703703703703703,0.8148148148148148
Classifiers.ROCKET,quaternion,23.261220932006836,17,1.7804644107818604,0.7619047619047619,0.7111111111111111,0.7314814814814814,0.7407407407407407
Classifiers.ROCKET,quaternion,23.190123319625854,18,1.6930832862854004,1.0,1.0,1.0,1.0
